Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
C4ORF54		1	1	104	1.0%	No
ST6GALNAC5		1	1	104	1.0%	No
MDM1		2	2	104	1.9%	No
ASPM		3	3	104	2.9%	No
SBF2		4	3	104	2.9%	No
RNF146		2	2	104	1.9%	No
SPRY4		1	1	104	1.0%	No
OGN		2	2	104	1.9%	No
DPYSL5		4	3	104	2.9%	No
FOXM1		2	2	104	1.9%	No
WRNIP1		1	1	104	1.0%	No
FOXE1		1	1	104	1.0%	No
FOXC2		1	1	104	1.0%	No
CDC42BPG		4	2	104	1.9%	No
ANKS1B		2	2	104	1.9%	No
DNAH3		9	9	104	8.7%	No
LAMA1		3	3	104	2.9%	No
ZNF821		1	1	104	1.0%	No
INPP4A		2	2	104	1.9%	Yes
INPP5B		1	1	104	1.0%	No
INPP5D		1	1	104	1.0%	Yes
FOXO1		1	1	104	1.0%	Yes
INPPL1		3	2	104	1.9%	Yes
PDX1		1	1	104	1.0%	No
ZSCAN5C		1	1	104	1.0%	No
CNOT11		1	1	104	1.0%	No
FLNB		4	4	104	3.8%	No
A1BG		1	1	104	1.0%	No
FLNA		8	7	104	6.7%	No
RHEBL1		1	1	104	1.0%	No
A2M		2	2	104	1.9%	No
FLII		1	1	104	1.0%	No
FLI1		1	1	104	1.0%	Yes
FLG		17	12	104	11.5%	No
TRIM73		1	1	104	1.0%	No
INSR		2	2	104	1.9%	Yes
OMG		1	1	104	1.0%	No
INSRR		3	3	104	2.9%	No
OPA1		2	1	104	1.0%	No
EIF3E		1	1	104	1.0%	Yes
FLOT2		1	1	104	1.0%	No
OPCML		2	2	104	1.9%	No
FLNC		6	5	104	4.8%	No
SIX6		1	1	104	1.0%	No
FBXW10B		1	1	104	1.0%	No
OR2C1		1	1	104	1.0%	No
CDH2		1	1	104	1.0%	No
FMOD		1	1	104	1.0%	No
FMO5		3	3	104	2.9%	No
SLC15A4		1	1	104	1.0%	No
PRIMA1		1	1	104	1.0%	No
MIOX		1	1	104	1.0%	No
FMO2		1	1	104	1.0%	No
UBE2Q1		2	1	104	1.0%	No
FLT4		3	2	104	1.9%	Yes
BMP2K		1	1	104	1.0%	No
KRTAP4-6		1	1	104	1.0%	No
FLT3		2	2	104	1.9%	Yes
MED29		1	1	104	1.0%	No
KRTAP2-1		1	1	104	1.0%	No
FLT1		3	3	104	2.9%	Yes
OPHN1		1	1	104	1.0%	No
IRAK1		2	2	104	1.9%	No
OPRM1		1	1	104	1.0%	No
IRF1		1	1	104	1.0%	Yes
ISL1		1	1	104	1.0%	No
ISLR		1	1	104	1.0%	No
EFCAB9		1	1	104	1.0%	No
ITGA2		2	2	104	1.9%	No
CDH12		2	2	104	1.9%	No
OTUD5		2	2	104	1.9%	No
ZNF611		2	2	104	1.9%	No
DIPK2A		1	1	104	1.0%	No
MED25		2	2	104	1.9%	No
VEZT		2	2	104	1.9%	No
SHARPIN		1	1	104	1.0%	No
CDH10		3	2	104	1.9%	No
CDH9		2	2	104	1.9%	No
ZCCHC8		1	1	104	1.0%	No
CDH8		2	2	104	1.9%	No
OR4K1		2	2	104	1.9%	No
CDH7		3	3	104	2.9%	No
CDH6		1	1	104	1.0%	No
FN1		1	1	104	1.0%	No
AFF2		2	2	104	1.9%	No
CDH4		1	1	104	1.0%	No
RNPC3		2	2	104	1.9%	No
FMR1		4	4	104	3.8%	No
IRF5		1	1	104	1.0%	No
OR6J1		1	1	104	1.0%	No
IRF7		1	1	104	1.0%	No
ORC1		1	1	104	1.0%	No
