Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ZDHHC9		Xq26.1	AMP	2	115	1.7%	No
RNA5SP217		6q22.33	HOMDEL	1	115	0.9%	No
TRAV5		14q11.2	AMP	2	115	1.7%	No
ZNF728		19p12	HOMDEL	2	115	1.7%	No
GPHN		14q23.3	HOMDEL	1	115	0.9%	Yes
LINC01556		6p22.1	AMP	1	115	0.9%	No
MAPK9		5q35.3	HOMDEL	1	115	0.9%	No
RN7SL513P		19p13.11	HOMDEL	2	115	1.7%	No
CLCF1		11q13.2	AMP	3	115	2.6%	No
RPL39P5		3q22.2	AMP	9	115	7.8%	No
NOL11		17q24.2	AMP	1	115	0.9%	No
C20ORF27		20p13	AMP	2	115	1.7%	No
C11ORF53		11q23.1	AMP	1	115	0.9%	No
CRELD2		22q13.33	AMP	1	115	0.9%	No
NAT2		8p22	HOMDEL	2	115	1.7%	No
TMEM38A		19p13.11	AMP	1	115	0.9%	No
GAGE12G		Xp11.23	AMP	2	115	1.7%	No
ERMN		2q24.1	AMP	1	115	0.9%	No
ALG1L2		3q22.1	AMP	6	115	5.2%	No
OXR1		8q23.1	AMP	5	115	4.3%	No
ATP4B	2.830e-4	13q34	AMP	3	115	2.6%	No
AQP6		12q13.12	AMP	1	115	0.9%	No
SYTL2		11q14.1	AMP	2	115	1.7%	No
ZNF862		7q36.1	AMP	1	115	0.9%	No
ZNF281		1q32.1	AMP	2	115	1.7%	No
GIMAP2		7q36.1	AMP	1	115	0.9%	No
TRAV4		14q11.2	AMP	2	115	1.7%	No
CRLF3		17q11.2	AMP	2	115	1.7%	No
BROX		1q41	AMP	1	115	0.9%	No
HEY2		6q22.31	HOMDEL	1	115	0.9%	No
RNASE10		14q11.2	AMP	1	115	0.9%	No
PTCD1		7q22.1	AMP	2	115	1.7%	No
SNX25		4q35.1	AMP	1	115	0.9%	No
EHBP1L1		11q13.1	AMP	1	115	0.9%	No
SNX10		7p15.2	AMP	1	115	0.9%	No
ZNF114	2.751e-2	19q13.33	HOMDEL	1	115	0.9%	No
RAB36		22q11.23	AMP	1	115	0.9%	No
ZNF343		20p13	AMP	1	115	0.9%	No
ZNF556		19p13.3	AMP	1	115	0.9%	No
TSEN34		19q13.42	AMP	1	115	0.9%	No
YPEL2		17q22	HOMDEL	1	115	0.9%	No
OR2T29		1q44	AMP	2	115	1.7%	No
GAGE12D		Xp11.23	AMP	2	115	1.7%	No
CNOT6		5q35.3	AMP	2	115	1.7%	No
SMC1A		Xp11.22	HOMDEL	1	115	0.9%	Yes
ITIH1		3p21.1	HOMDEL	1	115	0.9%	No
MFSD6	1.296e-2	2q32.2	AMP	1	115	0.9%	No
LINC02901	9.848e-5	6q25.3	HOMDEL	2	115	1.7%	No
TRBV30		7q34	AMP	1	115	0.9%	No
SACS	1.336e-9	13q12.12	HOMDEL	1	115	0.9%	No
DAZAP1		19p13.3	HOMDEL	4	115	3.5%	Yes
RSL1D1		16p13.13	AMP	2	115	1.7%	No
GSX2		4q12	AMP	2	115	1.7%	No
ZNF525		19q13.42	AMP	1	115	0.9%	No
STRN4		19q13.32	AMP	1	115	0.9%	No
RNA5SP345		11q21	HOMDEL	2	115	1.7%	No
THG1L		5q33.3	AMP	1	115	0.9%	No
ZNF512B		20q13.33	AMP	3	115	2.6%	No
TRIM64B		11q14.3	AMP	1	115	0.9%	No
ZBTB7A		19p13.3	HOMDEL	2	115	1.7%	Yes
IFFO1		12p13.31	HOMDEL	1	115	0.9%	No
ARL4C	3.466e-41	2q37.1	HOMDEL	3	115	2.6%	No
BIVM	2.830e-4	13q33.1	AMP	2	115	1.7%	No
NAF1		4q32.2	HOMDEL	1	115	0.9%	No
CLGN		4q31.1	HOMDEL	1	115	0.9%	No
PDZD11		Xq13.1	AMP	1	115	0.9%	No
RMDN1		8q21.3	AMP	2	115	1.7%	No
BHMT2		5q14.1	HOMDEL	1	115	0.9%	No
TMEM131L		4q31.3	HOMDEL	1	115	0.9%	No
LINC00293		8q11.1	AMP	1	115	0.9%	No
AR		Xq12	AMP	1	115	0.9%	Yes
CFHR5		1q31.3	AMP	2	115	1.7%	No
VSTM5		11q21	AMP	2	115	1.7%	No
TMEM98		17q11.2	AMP	1	115	0.9%	No
MTND1P15		17p11.2	AMP	2	115	1.7%	No
TRIM16		17p12	HOMDEL	1	115	0.9%	No
CPNE8		12q12	AMP	1	115	0.9%	No
OR5P3	2.701e-2	11p15.4	HOMDEL	1	115	0.9%	No
ZNF490		19p13.2-p13.13	AMP	2	115	1.7%	No
CRTC1		19p13.11	HOMDEL	2	115	1.7%	Yes
ADA		20q13.12	AMP	2	115	1.7%	No
ZNF576		19q13.31	AMP	3	115	2.6%	No
FBXL20		17q12	AMP	1	115	0.9%	No
SHH	1.615e-3	7q36.3	HOMDEL	2	115	1.7%	No
TRBV28		7q34	AMP	1	115	0.9%	No
DNAJB1		19p13.12	HOMDEL	2	115	1.7%	Yes
ABCC6		16p13.11	AMP	1	115	0.9%	No
SCN10A		3p22.2	HOMDEL	1	115	0.9%	No
PRR21	3.466e-41	2q37.3	HOMDEL	5	115	4.3%	No
ANKRD12		18p11.22	HOMDEL	1	115	0.9%	No
KRT40		17q21.2	HOMDEL	2	115	1.7%	No
CNGB3		8q21.3	AMP	2	115	1.7%	No
FAM76B		11q21	HOMDEL	2	115	1.7%	No
SIDT1		3q13.2	AMP	4	115	3.5%	No
THEM5	3.200e-5	1q21.3	AMP	3	115	2.6%	No
NKPD1		19q13.32	AMP	2	115	1.7%	No
RNA5SP299		10p14	AMP	1	115	0.9%	No
CDK6		7q21.2	HOMDEL	1	115	0.9%	Yes
HMGN4		6p22.2	AMP	1	115	0.9%	No
GTSF1L		20q13.12	AMP	2	115	1.7%	No
RNA5SP179		5p15.1	AMP	10	115	8.7%	No
MUSTN1		3p21.1	HOMDEL	1	115	0.9%	No
ARAF		Xp11.3	AMP	2	115	1.7%	Yes
TRIM38		6p22.2	AMP	1	115	0.9%	No
GTF2F1		19p13.3	HOMDEL	2	115	1.7%	No
CCDC80		3q13.2	AMP	4	115	3.5%	No
ADAR	3.200e-5	1q21.3	AMP	3	115	2.6%	No
WDR45B		17q25.3	AMP	1	115	0.9%	No
NANP		20p11.21	AMP	4	115	3.5%	No
CNKSR1	2.952e-4	1p36.11	HOMDEL	1	115	0.9%	No
PPP1R37		19q13.32	AMP	3	115	2.6%	No
RN7SKP62		5q21.1	HOMDEL	1	115	0.9%	No
NUPR2		7p11.2	AMP	1	115	0.9%	No
RN7SKP3	2.168e-19	13q14.12	HOMDEL	5	115	4.3%	No
PRR14L		22q12.2	HOMDEL	1	115	0.9%	No
RIIAD1	3.200e-5	1q21.3	AMP	3	115	2.6%	No
OR7E24		19p13.2	HOMDEL	2	115	1.7%	No
SCML2		Xp22.13	HOMDEL	1	115	0.9%	No
TADA3		3p25.3	AMP	1	115	0.9%	No
HAPLN3	5.804e-3	15q26.1	AMP	1	115	0.9%	No
RNA5SP178		5p15.1	AMP	10	115	8.7%	No
SSX6P		Xp11.23	AMP	2	115	1.7%	No
SOSTDC1		7p21.2	AMP	1	115	0.9%	No
TTC29		4q31.22	AMP	1	115	0.9%	No
TRAV7		14q11.2	AMP	2	115	1.7%	No
BEX4		Xq22.1	AMP	1	115	0.9%	No
RNA5SP189		5q21.3	HOMDEL	1	115	0.9%	No
MTMR7		8p22	HOMDEL	2	115	1.7%	No
CCM2L		20q11.21	AMP	5	115	4.3%	No
ADARB1		21q22.3	AMP	2	115	1.7%	No
CD99P1		Xp22.33 and Yp11.31	AMP	2	115	1.7%	No
CISH		3p21.2	HOMDEL	1	115	0.9%	No
LINC00616		4q28.3	HOMDEL	1	115	0.9%	No
PPP1R18		6p21.33	AMP	1	115	0.9%	No
TMEM45A		3q12.2	AMP	3	115	2.6%	No
RAB3IP		12q15	AMP	1	115	0.9%	No
KCTD15		19q13.11	AMP	3	115	2.6%	No
RNA5SP181		5p13.2	AMP	10	115	8.7%	No
PFDN6		6p21.32	AMP	1	115	0.9%	No
HEXB		5q13.3	HOMDEL	2	115	1.7%	No
RNA5SP76		1q41	AMP	1	115	0.9%	No
RNA5SP301		10p13	AMP	1	115	0.9%	No
PHF8		Xp11.22	HOMDEL	1	115	0.9%	No
ZNF737		19p12	AMP	2	115	1.7%	No
ESRP1		8q22.1	AMP	4	115	3.5%	No
SLC35F6	9.994e-2	2p23.3	AMP	1	115	0.9%	No
GEMIN5		5q33.2	AMP	1	115	0.9%	No
SPATA16		3q26.31	AMP	16	115	13.9%	No
RTP2		3q27.3	AMP	16	115	13.9%	No
SSX7		Xp11.22	AMP	1	115	0.9%	No
ADARB2		10p15.3	AMP	2	115	1.7%	No
ALK	9.994e-2	2p23.2-p23.1	AMP	1	115	0.9%	Yes
UBE2Q2P1	5.804e-3	15q25.2	AMP	1	115	0.9%	No
NAALAD2		11q14.3	HOMDEL	2	115	1.7%	No
CHD5	2.952e-4	1p36.31	HOMDEL	1	115	0.9%	No
SBDS		7q11.21	AMP	2	115	1.7%	Yes
ABHD18		4q28.2	AMP	1	115	0.9%	No
CSRNP3		2q24.3	AMP	1	115	0.9%	No
MRPL52		14q11.2	AMP	1	115	0.9%	No
PPFIBP1		12p11.23-p11.22	HOMDEL	1	115	0.9%	Yes
ZBTB18		1q44	AMP	2	115	1.7%	No
C12ORF56		12q14.2	AMP	1	115	0.9%	No
RNA5SP300		10p13	AMP	1	115	0.9%	No
RNA5SP180		5p15.1	AMP	10	115	8.7%	No
PSMG4		6p25.2	AMP	2	115	1.7%	No
RAP1B		12q15	AMP	1	115	0.9%	No
SAMD10		20q13.33	AMP	3	115	2.6%	No
TRDN		6q22.31	AMP	2	115	1.7%	No
RNA5SP305		10p12.1	AMP	1	115	0.9%	No
KLRK1		12p13.2	HOMDEL	1	115	0.9%	No
CCDC105		19p13.12	AMP	1	115	0.9%	No
SLC25A17		22q13.2	AMP	1	115	0.9%	No
NARF	6.784e-4	17q25.3	HOMDEL	1	115	0.9%	No
DDX39A		19p13.12	AMP	1	115	0.9%	No
FNDC1	9.848e-5	6q25.3	HOMDEL	2	115	1.7%	No
OR7D2		19p13.2	HOMDEL	2	115	1.7%	No
GAGE2C		Xp11.23	AMP	2	115	1.7%	No
TRIP6		7q22.1	AMP	2	115	1.7%	No
TOMM70		3q12.2	AMP	3	115	2.6%	No
TBC1D3P5		17q11.2	HOMDEL	1	115	0.9%	No
LINC00410		13q31.3	HOMDEL	1	115	0.9%	No
CX3CR1		3p22.2	HOMDEL	1	115	0.9%	No
DNASE2		19p13.13	HOMDEL	2	115	1.7%	No
DLGAP2		8p23.3	HOMDEL	3	115	2.6%	No
RNA5SP78		1q42.13	AMP	1	115	0.9%	No
TNPO2		19p13.13	HOMDEL	2	115	1.7%	No
KCNJ16		17q24.3	AMP	1	115	0.9%	No
TDRD10	3.200e-5	1q21.3	AMP	3	115	2.6%	No
LRTM2		12p13.33	AMP	1	115	0.9%	No
INSL3		19p13.11	AMP	1	115	0.9%	No
RN7SL491P		19q13.12	AMP	3	115	2.6%	No
RN7SL16P		4p15.2	HOMDEL	1	115	0.9%	No
BCAS1		20q13.2	AMP	3	115	2.6%	No
RN7SL716P		17q22	HOMDEL	1	115	0.9%	No
SLC9A6		Xq26.3	AMP	2	115	1.7%	No
PSMD14		2q24.2	AMP	1	115	0.9%	No
RNA5SP304		10p12.2	AMP	1	115	0.9%	No
PDIA4		7q36.1	AMP	1	115	0.9%	No
RN7SKP35		4q31.3	HOMDEL	1	115	0.9%	No
ABHD16B		20q13.33	AMP	3	115	2.6%	No
LINC01620		20q13.12	AMP	2	115	1.7%	No
RN7SL518P		10q22.3	AMP	1	115	0.9%	No
PXDC1		6p25.2	AMP	2	115	1.7%	No
COX4I2	4.240e-10	20q11.21	AMP	7	115	6.1%	No
DNAH14		1q42.12	AMP	1	115	0.9%	No
FAM110D	2.952e-4	1p36.11	HOMDEL	1	115	0.9%	No
RAB12		18p11.22	AMP	2	115	1.7%	No
TBC1D26		17p12	AMP	1	115	0.9%	No
C8ORF48		8p22	HOMDEL	2	115	1.7%	No
RNA5SP303		10p12.31	AMP	1	115	0.9%	No
ABCC2		10q24.2	AMP	1	115	0.9%	No
KCNJ15		21q22.13-q22.2	AMP	2	115	1.7%	No
PSMB11		14q11.2	AMP	1	115	0.9%	No
RNA5SP77		1q42.13	AMP	1	115	0.9%	No
CAMK1		3p25.3	AMP	1	115	0.9%	No
TNFSF11	2.168e-19	13q14	HOMDEL	5	115	4.3%	No
SOX14		3q22.3	AMP	11	115	9.6%	No
TMEM205		19p13.2	AMP	3	115	2.6%	No
RHEB		7q36.1	AMP	1	115	0.9%	Yes
TMEM52B		12p13.2	HOMDEL	1	115	0.9%	No
API5		11p12	AMP	1	115	0.9%	No
RN7SL469P		15q13.2	AMP	1	115	0.9%	No
ATP5PD	2.021e-5	17q25.1	AMP	5	115	4.3%	No
COX16		14q24.2	AMP	2	115	1.7%	No
ATRAID	9.994e-2	2p23.3	AMP	1	115	0.9%	No
PKDREJ		22q13.31	AMP	1	115	0.9%	No
RNA5SP81		1q43	AMP	2	115	1.7%	No
PROS1		3q11.1	HOMDEL	1	115	0.9%	No
PATE3	1.076e-32	11q24.2	HOMDEL	3	115	2.6%	No
NRN1L		16q22.1	AMP	1	115	0.9%	No
GAD2		10p12.1	AMP	1	115	0.9%	No
ADCY2		5p15.31	AMP	11	115	9.6%	No
MBTPS1		16q23.3-q24.1	HOMDEL	1	115	0.9%	No
ZNF598		16p13.3	AMP	1	115	0.9%	No
PNMA6A		Xq28	AMP	3	115	2.6%	No
CPT1A		11q13.3	AMP	3	115	2.6%	No
TFG		3q12.2	AMP	3	115	2.6%	Yes
ARSG		17q24.2	HOMDEL	1	115	0.9%	No
SRPX		Xp11.4	AMP	1	115	0.9%	No
AKAP11	2.168e-19	13q14.11	HOMDEL	5	115	4.3%	No
RN7SL456P		7q35	AMP	1	115	0.9%	No
MRPS17		7p11.2	AMP	1	115	0.9%	No
FLOT1		6p21.33	AMP	1	115	0.9%	No
RNA5SP80		1q42.2	AMP	1	115	0.9%	No
CCL26		7q11.23	AMP	1	115	0.9%	No
UBE2E3	1.296e-2	2q31.3	AMP	1	115	0.9%	No
LINC00899		22q13.31	AMP	1	115	0.9%	No
SETDB1	3.200e-5	1q21.3	AMP	3	115	2.6%	Yes
NFE2L3		7p15.2	AMP	1	115	0.9%	No
ADCY3	9.994e-2	2p23.3	AMP	1	115	0.9%	No
BANF2		20p12.1	AMP	2	115	1.7%	No
TOX2		20q13.12	AMP	2	115	1.7%	No
THBS2	9.848e-5	6q27	HOMDEL	3	115	2.6%	No
CPT1B		22q13.33	AMP	1	115	0.9%	No
PRSS23		11q14.2	HOMDEL	2	115	1.7%	No
RNA5SP79		1q42.2	AMP	1	115	0.9%	No
SPOP		17q21.33	AMP	2	115	1.7%	Yes
KCNJ14		19q13.33	AMP	1	115	0.9%	No
ABCA10		17q24.3	AMP	1	115	0.9%	No
TRABD2A		2p11.2	AMP	1	115	0.9%	No
LINC00311		16q24.1	HOMDEL	1	115	0.9%	No
PRG4		1q31.1	AMP	3	115	2.6%	No
LACTB2		8q13.3	AMP	4	115	3.5%	No
TEX47		7q21.13	AMP	3	115	2.6%	No
C11ORF68		11q13.1	AMP	1	115	0.9%	No
RNA5SP84	9.994e-2	2p25.1	AMP	1	115	0.9%	No
CXORF38		Xp11.4	AMP	2	115	1.7%	No
GABRR2		6q15	AMP	1	115	0.9%	No
RN7SL426P		17p11.2	AMP	1	115	0.9%	No
RN7SL45P		17q11.2	AMP	1	115	0.9%	No
ZNF474		5q23.2	HOMDEL	1	115	0.9%	No
RN7SL553P		3p26.1	AMP	1	115	0.9%	No
CFAP74	2.952e-4	1p36.33	HOMDEL	2	115	1.7%	No
DET1	5.804e-3	15q26.1	AMP	1	115	0.9%	No
SLC39A14		8p21.3	HOMDEL	2	115	1.7%	No
PRR15L		17q21.32	AMP	1	115	0.9%	No
AJUBA		14q11.2	AMP	1	115	0.9%	Yes
TAGLN2		1q23.2	AMP	2	115	1.7%	No
ZNF461		19q13.13	AMP	3	115	2.6%	No
RNA5SP82		1q44	AMP	2	115	1.7%	No
GAD1		2q31.1	AMP	1	115	0.9%	No
GSC	8.624e-4	14q32.13	HOMDEL	1	115	0.9%	No
CCP110		16p12.3	AMP	1	115	0.9%	No
VWA5B1		1p36.12	AMP	1	115	0.9%	No
PPP4R3A	8.624e-4	14q32.12	HOMDEL	1	115	0.9%	No
RBM42		19q13.12	AMP	3	115	2.6%	No
SORBS2		4q35.1	HOMDEL	4	115	3.5%	No
ADTRP		6p24.1	AMP	3	115	2.6%	No
ANGPT4		20p13	AMP	1	115	0.9%	No
ZSWIM3		20q13.12	AMP	2	115	1.7%	No
DMXL1		5q23.1	HOMDEL	1	115	0.9%	No
C19ORF12		19q12	AMP	3	115	2.6%	No
RNA5SP86	9.994e-2	2p24.1	AMP	1	115	0.9%	No
SSX3		Xp11.23	AMP	2	115	1.7%	No
TRAPPC12	9.994e-2	2p25.3	AMP	1	115	0.9%	No
RPSA		3p22.1	HOMDEL	1	115	0.9%	No
RN7SL351P	1.076e-32	11q24.2	HOMDEL	3	115	2.6%	No
RNA5SP25	1.336e-9	13q12.11	HOMDEL	1	115	0.9%	No
ALKBH6		19q13.12	AMP	3	115	2.6%	No
ZNF251		8q24.3	AMP	5	115	4.3%	No
RN7SL461P		14q22.3	AMP	2	115	1.7%	No
TRIP10		19p13.3	HOMDEL	2	115	1.7%	No
USP17L19		4p16.1	AMP	1	115	0.9%	No
PLXNB1		3p21.31	HOMDEL	1	115	0.9%	No
HAPLN1		5q14.3	HOMDEL	1	115	0.9%	No
CENPO	9.994e-2	2p23.3	AMP	1	115	0.9%	No
CPN2		3q29	AMP	16	115	13.9%	No
H4C15		1q21.2	AMP	2	115	1.7%	No
RN7SL525P		19q13.43	AMP	1	115	0.9%	No
UXT		Xp11.23	AMP	2	115	1.7%	No
UCHL5		1q31.2	AMP	2	115	1.7%	No
ZNF585B		19q13.12	AMP	3	115	2.6%	No
RNA5SP85	9.994e-2	2p25.1	AMP	1	115	0.9%	No
WFDC10A		20q13.12	AMP	2	115	1.7%	No
NHLRC3		13q13.3	HOMDEL	4	115	3.5%	No
KMT5B		11q13.2	AMP	2	115	1.7%	No
BDP1		5q13.2	HOMDEL	2	115	1.7%	No
MYO1D		17q11.2	HOMDEL	2	115	1.7%	No
RPS6KA6		Xq21.1	HOMDEL	1	115	0.9%	No
RN7SL475P		1p32.1	AMP	1	115	0.9%	No
RFX6		6q22.1	HOMDEL	2	115	1.7%	No
CEMP1		16p13.3	AMP	1	115	0.9%	No
ANKRD36BP1		1q24.2	AMP	1	115	0.9%	No
BRME1		19p13.12	AMP	2	115	1.7%	No
LINC00989		4q21.21	AMP	1	115	0.9%	No
ASPM		1q31.3	AMP	2	115	1.7%	No
GLB1L		2q35	HOMDEL	2	115	1.7%	No
LINC00661		19p13.12	AMP	1	115	0.9%	No
RASSF8		12p12.1	HOMDEL	1	115	0.9%	No
SHE	3.200e-5	1q21.3	AMP	3	115	2.6%	No
CPOX		3q11.2	AMP	3	115	2.6%	No
LCE3A	3.200e-5	1q21.3	AMP	3	115	2.6%	No
INF2		14q32.33	AMP	3	115	2.6%	No
HDX		Xq21.1	HOMDEL	1	115	0.9%	No
CHD2	5.804e-3	15q26.1	AMP	2	115	1.7%	Yes
DGCR2		22q11.21	AMP	1	115	0.9%	No
SECTM1		17q25.3	AMP	1	115	0.9%	No
ZNF699		19p13.2	AMP	3	115	2.6%	No
RPL8		8q24.3	AMP	5	115	4.3%	No
EDEM1		3p26.1	HOMDEL	1	115	0.9%	No
ZNF492		19p12	HOMDEL	2	115	1.7%	No
IGHG4		14q32.33	AMP	3	115	2.6%	No
PCSK1N		Xp11.23	HOMDEL	1	115	0.9%	No
BMS1P18		14q11.2	AMP	1	115	0.9%	No
SLC7A13		8q21.3	AMP	3	115	2.6%	No
LAMB4		7q31.1	HOMDEL	1	115	0.9%	No
FAM227B	4.965e-4	15q21.2	HOMDEL	2	115	1.7%	No
DISC1FP1		11q14.3	HOMDEL	2	115	1.7%	No
ZBTB25		14q23.3	AMP	2	115	1.7%	No
RN7SL566P		19q13.2	AMP	4	115	3.5%	No
NDUFA7		19p13.2	AMP	3	115	2.6%	No
LINC00461		5q14.3	HOMDEL	1	115	0.9%	No
ETS1	1.076e-32	11q24.3	HOMDEL	3	115	2.6%	Yes
MTSS2		16q22.1	AMP	1	115	0.9%	No
LCE2D	3.200e-5	1q21.3	AMP	3	115	2.6%	No
FRG2B		10q26.3	HOMDEL	1	115	0.9%	No
KCNJ12		17p11.2	AMP	2	115	1.7%	No
TRAPPC2		Xp22.2	AMP	1	115	0.9%	No
MARVELD2		5q13.2	HOMDEL	2	115	1.7%	No
IGHG3		14q32.33	AMP	3	115	2.6%	No
WIPI1		17q24.2	HOMDEL	1	115	0.9%	No
MEF2B		19p13.11	AMP	1	115	0.9%	Yes
HCG23		6p21.32	AMP	1	115	0.9%	No
TBC1D32		6q22.31	HOMDEL	1	115	0.9%	No
RAB37		17q25.1	AMP	3	115	2.6%	No
MINPP1		10q23.2	HOMDEL	2	115	1.7%	No
NYAP1		7q22.1	AMP	2	115	1.7%	No
RGS7		1q43	AMP	2	115	1.7%	No
ZNF45		19q13.31	AMP	3	115	2.6%	No
RN7SL592P		9p24.2	AMP	2	115	1.7%	No
SNORD100		6q23.2	HOMDEL	1	115	0.9%	No
NDUFA6		22q13.2	AMP	1	115	0.9%	No
NME4		16p13.3	AMP	1	115	0.9%	No
UFSP2		4q35.1	HOMDEL	3	115	2.6%	No
ASCL5		1q32.1	AMP	2	115	1.7%	No
SPDYE3		7q22.1	AMP	2	115	1.7%	No
TRIM13		13q14.2	AMP	1	115	0.9%	No
PLD5		1q43	AMP	2	115	1.7%	No
RN7SL849P		9p23	AMP	2	115	1.7%	No
SUPT20H		13q13.3	HOMDEL	3	115	2.6%	No
RPL10		Xq28	AMP	3	115	2.6%	Yes
LCE3C	3.200e-5	1q21.3	AMP	3	115	2.6%	No
IGHG2		14q32.33	AMP	3	115	2.6%	No
UBE2L3		22q11.21	AMP	1	115	0.9%	No
RANBP1		22q11.21	AMP	1	115	0.9%	No
ZNF630		Xp11.23	HOMDEL	1	115	0.9%	No
MED24		17q21.1	AMP	3	115	2.6%	No
CBY3		5q35.3	AMP	1	115	0.9%	No
HCG15		6p21	AMP	1	115	0.9%	No
RN7SL617P		6q21	AMP	2	115	1.7%	No
MAPK1IP1L		14q22.3	AMP	2	115	1.7%	No
GABRP		5q35.1	AMP	2	115	1.7%	No
FOXJ1		17q25.1	AMP	2	115	1.7%	No
NME3		16p13.3	AMP	1	115	0.9%	No
EIF3D		22q12.3	AMP	1	115	0.9%	No
LGALS7B		19q13.2	AMP	3	115	2.6%	No
